1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
